Q30325916	Q941898	P118	Furman Paladins women's basketball	Southern Conference	league
Q582108	Q3240645	P118	OMR El Annasser	Ligue Nationale du Football Amateur	league
Q2471679	Q973312	P118	US Montagnarde	Championnat de France de football de National 3	league
Q1080116	Q154069	P118	Christian Hain	3. Liga	league
Q543156	Q152665	P118	Charles Akonnor	2. Bundesliga	league
Q15830952	Q82595	P118	Cleber Janderson Pereira Reis	Fußball-Bundesliga	league
Q329451	Q82595	P118	Luiz Gustavo	Fußball-Bundesliga	league
Q4755489	Q82595	P118	Andreas Kaufmann	Fußball-Bundesliga	league
Q15627498	Q82595	P118	Bo Elvar Jørgensen	Bundesliga	league
Q1967742	Q152665	P118	Uwe Behrens	2. Bundesliga	league
Q22082634	Q635198	P118	Orsomarso S.C.	Categoría Primera B	league
Q439783	Q82595	P118	Jakub Wierzchowski	Fußball-Bundesliga	league
Q169993	Q152665	P118	Andreas Görlitz	2. Bundesliga	league
Q976699	Q82595	P118	Klaus Bruckmann	Bundesliga	league
Q661383	Q749736	P118	CF Lorca Deportiva	Tercera División	league
Q49801	Q154069	P118	Thomas Paulus	3. Liga	league
Q48851	Q19565	P118	AFC Wimbledon	Football League One	league
Q161089	Q82595	P118	İlkay Gündoğan	Fußball-Bundesliga	league
Q44983	Q82595	P118	Erwin Hoffer	Fußball-Bundesliga	league
Q2806594	Q2952064	P118	1. FC Slovácko Zeny	Czech First Division	league
Q1673544	Q82595	P118	Norbert Dronia	Bundesliga	league
Q5214032	Q62222	P118	St Helens Town A.F.C.	North West Counties Football League	league
Q4533719	Q25020	P118	FC Yugra Nizhnevartovsk	Russian Amateur Football League	league
Q981318	Q82595	P118	Rodolfo Esteban Cardoso	Fußball-Bundesliga	league
Q44834	Q82595	P118	Thomas Kraft	Fußball-Bundesliga	league
Q2350795	Q1513746	P118	KK Mega Vizura	Basketball League of Serbia	league
Q17612631	Q82595	P118	Mikel Merino	Bundesliga	league
Q4651450	Q2852931	P118	AFC Hinksey	Hellenic Football League	league
Q497932	Q152665	P118	Andreas Helmer	2. Bundesliga	league
Q834331	Q152665	P118	Gaetano Manno	2. Bundesliga	league
Q1510608	Q82595	P118	Gerd Knoth	Fußball-Bundesliga	league
Q153463	Q82595	P118	Allan Simonsen	Fußball-Bundesliga	league
Q169005	Q152665	P118	Daniel Schwaab	2. Bundesliga	league
Q159516	Q82595	P118	Andreas Beck	Bundesliga	league
Q221671	Q217016	P118	FC Slovan Liberec	Czech First League	league
Q22342625	Q82595	P118	Heiko Kurth	Fußball-Bundesliga	league
Q3947389	Q976491	P118	San Jose Frogs	USL League Two	league
Q447215	Q82595	P118	Lincoln	Fußball-Bundesliga	league
Q461595	Q1209761	P118	Atlanta Braves	National League West	league
Q4132020	Q59041	P118	Guiseley A.F.C.	National League North	league
Q325213	Q15735	P118	FSV Erlangen-Bruck	Fußball-Bayernliga	league
