Q299932	Q2370207	P119	Mary Anna Custis Lee	Lee Chapel	place of burial
Q106212	Q335336	P119	Karl Frankenstein	Har HaMenuchot	place of burial
Q445917	Q28007260	P119	Mauritz Stiller	Jewish cemetery	place of burial
Q1709528	Q831322	P119	José Mármol	Recoleta Cemetery	place of burial
Q33084629	Q311	P119	Claude-Louis Novel	Père Lachaise Cemetery	place of burial
Q29906704	Q1517387	P119	Ashot Gasparyan	Vvedenskoye Cemetery	place of burial
Q20875	Q42646	P119	Edward VII	Windsor Castle	place of burial
Q23765915	Q216344	P119	Anthony Leviero	Arlington National Cemetery	place of burial
Q52928	Q657118	P119	Charles XIII of Sweden	Riddarholm Church	place of burial
Q1680279	Q5056756	P119	James Dixon	Cedar Hill Cemetery	place of burial
Q3081540	Q3006253	P119	Francis Le Basser	Crématorium-columbarium du Père-Lachaise	place of burial
Q8012124	Q216344	P119	William Henry Prestele	Arlington National Cemetery	place of burial
Q2840050	Q311	P119	Alphonsine	Père Lachaise Cemetery	place of burial
Q171242	Q4263743	P119	Gleb Uspensky	Literatorskie mostki	place of burial
Q11730239	Q168886	P119	Józef Gieysztor	Powązki Cemetery	place of burial
Q4721682	Q1413698	P119	Alf Frydenberg	Western Cemetery	place of burial
Q523942	Q4416669	P119	Antonina Borissova	Seraphimovskoe cemetery	place of burial
Q5542049	Q578055	P119	George Magerkurth	East Moline	place of burial
Q3295688	Q13947	P119	Martin de Barcos	Centre-Val de Loire	place of burial
Q223545	Q7589922	P119	Daniel D. Tompkins	St. Mark's Church in-the-Bowery	place of burial
Q16030155	Q16551	P119	William H. Fairchild	Vermont	place of burial
Q9382420	Q8510930	P119	Władysław Zaleski	Central Cemetery in Sanok	place of burial
Q7433067	Q239043	P119	Schuyler Chapin	Green-Wood Cemetery	place of burial
Q6490996	Q216344	P119	Larry R. Johnson	Arlington National Cemetery	place of burial
Q7499595	Q335336	P119	Shlomo Morag	Har HaMenuchot	place of burial
Q18279285	Q1457437	P119	Anatoly Fetisov	Troyekurovskoye Cemetery	place of burial
Q16030002	Q16551	P119	Orion Metcalf Barber	Vermont	place of burial
Q21090151	Q3006253	P119	Alphonse Bard	Crématorium-columbarium du Père-Lachaise	place of burial
Q53435	Q2064095	P119	Mieszko I of Poland	Archcathedral Basilica of St. Peter and St. Paul	place of burial
Q6306922	Q5336824	P119	Julian Abele	Eden Cemetery	place of burial
Q42392911	Q168886	P119	Artur Gałązka	Powązki Cemetery	place of burial
Q11835284	Q1457419	P119	Roman Stankiewicz	Rakowicki Cemetery	place of burial
Q29568983	Q311	P119	Henri Cotelle	Père Lachaise Cemetery	place of burial
Q76414	Q216344	P119	Ludwig Bemelmans	Arlington National Cemetery	place of burial
Q12075586	Q2448004	P119	Abaza Viktor Ivanovich	Orthodox Cemetery in Warsaw	place of burial
Q1347962	Q311	P119	Alejandro María Aguado, 1st Marquis of the Guadalquivir Marshes	Père Lachaise Cemetery	place of burial
Q6742685	Q216344	P119	Malcolm Toon	Arlington National Cemetery	place of burial
Q502711	Q4498622	P119	Andrey Anikin	Khovanskoye Cemetery	place of burial
Q6594539	Q2777398	P119	Shimon ben Nethanel	Alma	place of burial
Q8055897	Q335336	P119	Yosef Leifer	Har HaMenuchot	place of burial
Q4413165	Q2972543	P119	Tuomas Anhava	Hietaniemi cemetery	place of burial
Q1317629	Q311	P119	Marc Girardin	Père Lachaise Cemetery	place of burial
Q1064699	Q2892262	P119	Charles H. Upton	Congressional Cemetery	place of burial
Q2331739	Q216344	P119	Stanley L. Greigg	Arlington National Cemetery	place of burial
Q2481777	Q2630252	P119	Vadym Sosnykhin	Baikove Cemetery	place of burial
Q15997135	Q1413698	P119	Ragnar Wettre	Western Cemetery	place of burial
Q4821391	Q7404157	P119	Augustus C. Kinney	Salem Pioneer Cemetery	place of burial
Q669464	Q3676872	P119	Giuni Russo	Cimitero Maggiore di Milano	place of burial
Q49637	Q29234	P119	Roger Nimier	Saint-Brieuc	place of burial
Q28354910	Q578506	P119	Latife Mardin	Karacaahmet Cemetery	place of burial
Q22019650	Q1364541	P119	Joseph Farrall Wright	Bolton	place of burial
Q12641970	Q1262136	P119	Sergej Mironović Golovčenko	Mirogoj Cemetery	place of burial
Q3458853	Q168886	P119	Tadeusz Kondrat	Powązki Cemetery	place of burial
