Q3008703	Q5400827	P264	Cymande	Janus Records	record label
Q5694800	Q155152	P264	Heaven in My Hands	Polydor Records	record label
Q7044741	Q4774898	P264	No Pain for Cakes	Antilles Records	record label
Q1822507	Q203059	P264	Fastlove	Virgin Records	record label
Q284512	Q949686	P264	Winter in America	Strata-East Records	record label
Q6532594	Q202585	P264	Let's Take the Long Way Around the World	RCA Records	record label
Q2365375	Q202585	P264	Don't Waste Your Time	RCA Records	record label
Q3975803	Q843402	P264	Strange Angels	Warner Bros. Records	record label
Q5419303	Q41187	P264	Example	Sony	record label
Q4769214	Q193023	P264	Annie	Capitol Records	record label
Q4850487	Q899126	P264	Baldur	Tutl	record label
Q16962862	Q726153	P264	Drive All Night EP	Epitaph Records	record label
Q5110740	Q4923294	P264	Christina Aguilar	GMM Grammy	record label
Q7112998	Q1973834	P264	Outside the Simian Flock	Play It Again Sam	record label
Q16837994	Q4952056	P264	Famous?	Boy Better Know	record label
Q1449685	Q483938	P264	I Got a Boy	SM Entertainment	record label
Q1718986	Q54860	P264	KSM	Walt Disney Records	record label
Q5750781	Q21077	P264	Hibiscus	Warner Music Group	record label
Q1952892	Q1251139	P264	'Til the Rivers All Run Dry	Dot Records	record label
Q849420	Q389284	P264	Bishop Lamont	Aftermath Entertainment	record label
Q45032836	Q38903	P264	Nobody but You	Universal Music Group	record label
Q3706725	Q190585	P264	Diamond Head	Universal-Island Records Ltd	record label
Q7560981	Q183412	P264	Song Dog	EMI	record label
Q6417059	Q202585	P264	Kiss an Angel Good Mornin'	RCA Records	record label
Q24077808	Q949848	P264	Swingin' My Way Through College	Roulette Records	record label
Q7922408	Q815776	P264	Veronica Falls	Bella Union	record label
Q4658603	Q165745	P264	A Night in London	Mercury Records	record label
Q7312841	Q756320	P264	Rendezvous with Ragnarok	Metal Blade Records	record label
Q6012976	Q1881437	P264	In the Summer of His Years	MGM Records	record label
Q1003704	Q216364	P264	Freak of Nature	Epic Records	record label
Q6839059	Q203059	P264	Micro-Phonies	Virgin Records	record label
Q23017019	Q2338889	P264	Is It Me?	MCA Records	record label
Q402279	Q203059	P264	Just One Last Time	Virgin Records	record label
Q5968266	Q1704724	P264	Re:Born	Nippon Crown	record label
Q4985665	Q183387	P264	Buffalo Bills	Columbia Records	record label
Q894694	Q1134531	P264	Boten Anna	Warner Music Sweden	record label
Q7284558	Q6036722	P264	Rainbow	Inoxia Records	record label
Q5071774	Q770103	P264	Change	Bertelsmann Music Group	record label
Q7744519	Q193023	P264	The King Sisters	Capitol Records	record label
Q5579023	Q1035129	P264	Goldblade	Captain Oi! Records	record label
Q10852597	Q21077	P264	Smile	Warner Music Group	record label
Q1340810	Q681168	P264	Endorama	Drakkar Entertainment	record label
Q18349416	Q3502384	P264	AFTERMATHematics	Sub Rosa	record label
Q659092	Q183387	P264	Loved Me Back to Life	Columbia Records	record label
Q8349	Q16888511	P264	"Weird Al" Yankovic	Rock 'n Roll Records	record label
Q1929747	Q657558	P264	Black Seeds of Vengeance	Relapse Records	record label
Q4982417	Q647983	P264	Introducing Roland Kirk	Argo Records	record label
Q19873614	Q7997938	P264	Blue Piccolo	Whynot Records	record label
Q3024758	Q202440	P264	Detachable Penis	Atlantic Records	record label
Q7080456	Q202585	P264	Oh Heart	RCA Records	record label
Q1757634	Q700359	P264	Apocalypshit	PolyGram	record label
Q15918146	Q3629023	P264	Josef Johansson	EMI Records	record label
Q350570	Q553858	P264	Jimmy Gourley	Disques Vogue	record label
Q5394368	Q216364	P264	The Great Cyndi Lauper	Epic Records	record label
Q7065599	Q203059	P264	Now That's What I Call Music! 36	Virgin Records	record label
Q20639546	Q202585	P264	Better Place	RCA Records	record label
