Q30565324	Q21756214	P680	Inositol monophosphatase family protein KVU_1787	histidinol-phosphatase activity	molecular function
Q29520621	Q14817981	P680	Glutamyl-tRNA amidotransferase subunit B	ATP binding	molecular function
Q21989709	Q21108886	P680	YME1-like 1 (S. cerevisiae)	ATP-dependent peptidase activity	molecular function
Q21980118	Q14330639	P680	Pseudouridylate synthase-like 1	RNA binding	molecular function
Q23599103	Q14862856	P680	Mu phage lysozyme SO_0659	lysozyme activity	molecular function
Q23491629	Q14633859	P680	Aconitate hydratase SMU_670	mRNA binding	molecular function
Q23483029	Q14817981	P680	GTPase ObgE DR_0084	ATP binding	molecular function
Q21633540	Q21115294	P680	Acyl carrier protein HP0962	acyl carrier activity	molecular function
Q22300749	Q21762716	P680	Glutamate synthase large subunit Cj0007	glutamate synthase activity	molecular function
Q23455132	Q14914016	P680	Hypothetical protein BT_3483	serine-type carboxypeptidase activity	molecular function
Q22272918	Q21134676	P680	N-acetyl-anhydromuranmyl-L-alanine amidase NMB0668	N-acetylmuramoyl-L-alanine amidase activity	molecular function
Q21604799	Q14817981	P680	Glutamyl-tRNA(Gln) amidotransferase subunit A BB_0342	ATP binding	molecular function
Q21498437	Q21095103	P680	Ryanodine receptor 2, cardiac	calcium-release channel activity	molecular function
Q21133843	Q14864149	P680	Small proline rich protein 3	structural molecule activity	molecular function
Q24107709	Q14349613	P680	Alcohol dehydrogenase SM_b20080	oxidoreductase activity	molecular function
Q30520696	Q14860850	P680	Amidophosphoribosyltransferase BBPR_1311	magnesium ion binding	molecular function
Q24096578	Q13667380	P680	Carbohydrate kinase PfkB Psyr_4487	metal ion binding	molecular function
Q23524211	Q14914252	P680	Pantothenate kinase CA_C3200	cation binding	molecular function
Q23606732	Q22320708	P680	ABC transporter-like protein Smed_2474	monosaccharide-transporting ATPase activity	molecular function
Q23064779	Q14860365	P680	Serine/threonine kinase LA_3113	nucleotide binding	molecular function
Q27471614	Q21110155	P680	Nucleoside triphosphate pyrophosphohydrolase NRG857_13615	nucleoside-triphosphate diphosphatase activity	molecular function
Q23550341	Q14883461	P680	NADH-quinone oxidoreductase subunit b 2 THEYE_A0912	iron-sulfur cluster binding	molecular function
Q23596251	Q14817981	P680	Threonyl-tRNA synthetase aq_1667	ATP binding	molecular function
Q23424737	Q14633858	P680	Bifunctional regulatory protein/DNA repair protein YE0084	DNA binding	molecular function
Q24110199	Q14817981	P680	Amino acid transporter ABC transporter ATP-binding protein SM_b21096	ATP binding	molecular function
Q28775573	Q14863658	P680	Hypothetical protein TM0709	methyltransferase activity	molecular function
Q22317680	Q21759684	P680	FMN reductase PP_2764	FMN reductase (NADPH) activity	molecular function
Q22266204	Q13667380	P680	GTP cyclohydrolase II NGO1134	metal ion binding	molecular function
Q22160396	Q13667380	P680	Inosine 5'-monophosphate dehydrogenase ECIAI39_2706	metal ion binding	molecular function
Q21495085	Q21100750	P680	Chitinase 1 (chitotriosidase)	chitin binding	molecular function
Q23526605	Q14840131	P680	Purine nucleoside phosphorylase CA_C2064	transferase activity	molecular function
Q22300482	Q14883719	P680	Hypothetical protein Cj1482c	exonuclease activity	molecular function
Q27553216	Q13667380	P680	1-phosphatidylinositol 4-kinase LSB6 YJL100W	metal ion binding	molecular function
Q23467432	Q14349613	P680	Iron-containing alcohol dehydrogenase Rru_A0930	oxidoreductase activity	molecular function
Q21762326	Q21199219	P680	Diaminopimelate epimerase PA5278	diaminopimelate epimerase activity	molecular function
Q22319610	Q22320708	P680	Ribose ABC transporter - ATP-binding subunit PP_2759	monosaccharide-transporting ATPase activity	molecular function
Q27742891	Q21763260	P680	beta-glucoside-specific EII permease    MSMEG_2117	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	molecular function
Q21119018	Q21101009	P680	NOP53 ribosome biogenesis factor	5S rRNA binding	molecular function
Q29821382	Q14817976	P680	Nuclear factor of activated T-cells, cytoplasmic 2-like	chromatin binding	molecular function
Q29813159	Q14820643	P680	Odorant receptor 24a Dmel_CG11767	signal transducer activity	molecular function
Q22258471	Q14840131	P680	TRNA (guanine-N(1)-)-methyltransferase LBA1287	transferase activity	molecular function
Q24135608	Q14890060	P680	2-hydroxy-3-oxopropionate reductase ECL_04514	NAD binding	molecular function
Q24132185	Q14840132	P680	Adenine phosphoribosyltransferase ECL_01240	transferase activity, transferring glycosyl groups	molecular function
Q23609002	Q14349613	P680	NADH dehydrogenase subunit N Smed_0903	oxidoreductase activity	molecular function
Q21121482	Q21119603	P680	Nudix hydrolase 10	inositol-1,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 1-diphosphatase activity	molecular function
Q29518920	Q14820643	P680	Olfactory receptor 1061	signal transducer activity	molecular function
Q28562702	Q14349613	P680	NADH:ubiquinone oxidoreductase core subunit S2	oxidoreductase activity	molecular function
Q22134638	Q14863977	P680	DNA repair protein RadC ECIAI39_4156	metallopeptidase activity	molecular function
Q29519183	Q14762994	P680	Complement C1q like 4	identical protein binding	molecular function
